,Date,Symbol,Order,Shares
0,2018-04-17 13:36:52,600570.XSHG,BUY,100
1,2018-04-17 13:36:55,600570.XSHG,BUY,100
2,2018-04-17 13:36:58,600570.XSHG,BUY,100
3,2018-04-17 13:37:01,600570.XSHG,BUY,100
4,2018-04-17 13:37:07,600570.XSHG,BUY,100
5,2018-04-17 13:37:13,600570.XSHG,SELL,100
6,2018-04-17 13:37:16,600570.XSHG,BUY,100
7,2018-04-17 13:37:22,600570.XSHG,SELL,100
8,2018-04-17 13:37:25,600570.XSHG,SELL,100
9,2018-04-17 13:37:28,600570.XSHG,BUY,100
10,2018-04-17 13:37:31,600570.XSHG,BUY,100
11,2018-04-17 13:37:34,600570.XSHG,BUY,100
12,2018-04-17 13:37:37,600570.XSHG,BUY,100
13,2018-04-17 13:37:40,600570.XSHG,SELL,100
14,2018-04-17 13:37:43,600570.XSHG,BUY,100
15,2018-04-17 13:37:46,600570.XSHG,SELL,100
16,2018-04-17 13:37:49,600570.XSHG,BUY,100
17,2018-04-17 13:37:58,600570.XSHG,SELL,100
18,2018-04-17 13:38:01,600570.XSHG,SELL,100
19,2018-04-17 13:38:04,600570.XSHG,SELL,100
20,2018-04-17 13:38:07,600570.XSHG,SELL,100
21,2018-04-17 13:38:10,600570.XSHG,SELL,100
22,2018-04-17 13:38:13,600570.XSHG,BUY,100
23,2018-04-17 13:38:16,600570.XSHG,SELL,100
24,2018-04-17 13:38:19,600570.XSHG,SELL,100
25,2018-04-17 13:38:22,600570.XSHG,BUY,100
26,2018-04-17 13:38:46,600570.XSHG,BUY,100
27,2018-04-17 13:38:49,600570.XSHG,BUY,100
28,2018-04-17 13:38:52,600570.XSHG,SELL,100
29,2018-04-17 13:38:55,600570.XSHG,SELL,100
30,2018-04-17 13:38:58,600570.XSHG,BUY,100
31,2018-04-17 13:39:01,600570.XSHG,BUY,100
32,2018-04-17 13:39:04,600570.XSHG,SELL,100
33,2018-04-17 13:39:07,600570.XSHG,BUY,100
34,2018-04-17 13:39:10,600570.XSHG,BUY,100
35,2018-04-17 13:39:13,600570.XSHG,BUY,100
36,2018-04-17 13:39:16,600570.XSHG,SELL,100
37,2018-04-17 13:39:22,600570.XSHG,BUY,100
38,2018-04-17 13:39:25,600570.XSHG,SELL,100
39,2018-04-17 13:39:28,600570.XSHG,SELL,100
40,2018-04-17 13:39:31,600570.XSHG,SELL,100
41,2018-04-17 13:39:34,600570.XSHG,BUY,100
42,2018-04-17 13:39:37,600570.XSHG,BUY,100
43,2018-04-17 13:39:40,600570.XSHG,BUY,100
44,2018-04-17 13:39:43,600570.XSHG,SELL,100
45,2018-04-17 13:39:46,600570.XSHG,BUY,100
46,2018-04-17 13:39:49,600570.XSHG,SELL,100
47,2018-04-17 13:39:52,600570.XSHG,SELL,100
48,2018-04-17 13:39:55,600570.XSHG,SELL,100
49,2018-04-17 13:39:58,600570.XSHG,SELL,100
50,2018-04-17 13:40:01,600570.XSHG,SELL,100
51,2018-04-17 13:40:04,600570.XSHG,BUY,100
52,2018-04-17 13:40:07,600570.XSHG,BUY,100
53,2018-04-17 13:40:10,600570.XSHG,SELL,100
54,2018-04-17 13:40:13,600570.XSHG,BUY,100
55,2018-04-17 13:40:16,600570.XSHG,SELL,100
56,2018-04-17 13:40:19,600570.XSHG,SELL,100
57,2018-04-17 13:40:28,600570.XSHG,SELL,100
58,2018-04-17 13:40:31,600570.XSHG,BUY,100
59,2018-04-17 13:40:34,600570.XSHG,SELL,100
60,2018-04-17 13:40:37,600570.XSHG,SELL,100
61,2018-04-17 13:40:40,600570.XSHG,SELL,100
62,2018-04-17 13:40:43,600570.XSHG,SELL,100
63,2018-04-17 13:40:46,600570.XSHG,SELL,100
64,2018-04-17 13:40:49,600570.XSHG,BUY,100
65,2018-04-17 13:40:52,600570.XSHG,BUY,100
66,2018-04-17 13:40:55,600570.XSHG,BUY,100
67,2018-04-17 13:40:59,600570.XSHG,BUY,100
68,2018-04-17 13:41:01,600570.XSHG,BUY,100
69,2018-04-17 13:41:04,600570.XSHG,SELL,100
70,2018-04-17 13:41:07,600570.XSHG,BUY,100
71,2018-04-17 13:41:10,600570.XSHG,BUY,100
72,2018-04-17 13:41:14,600570.XSHG,BUY,100
73,2018-04-17 13:41:16,600570.XSHG,BUY,100
74,2018-04-17 13:41:19,600570.XSHG,BUY,100
75,2018-04-17 13:41:22,600570.XSHG,SELL,100
76,2018-04-17 13:41:25,600570.XSHG,SELL,100
77,2018-04-17 13:41:29,600570.XSHG,SELL,100
78,2018-04-17 13:41:31,600570.XSHG,SELL,100
79,2018-04-17 13:41:34,600570.XSHG,SELL,100
80,2018-04-17 13:41:37,600570.XSHG,BUY,100
81,2018-04-17 13:41:41,600570.XSHG,BUY,100
82,2018-04-17 13:41:44,600570.XSHG,SELL,100
83,2018-04-17 13:41:46,600570.XSHG,SELL,100
84,2018-04-17 13:41:49,600570.XSHG,BUY,100
85,2018-04-17 13:41:52,600570.XSHG,BUY,100
86,2018-04-17 13:41:55,600570.XSHG,BUY,100
87,2018-04-17 13:41:58,600570.XSHG,BUY,100
88,2018-04-17 13:42:02,600570.XSHG,BUY,100
89,2018-04-17 13:42:07,600570.XSHG,SELL,100
90,2018-04-17 13:42:13,600570.XSHG,BUY,100
91,2018-04-17 13:42:17,600570.XSHG,BUY,100
92,2018-04-17 13:42:19,600570.XSHG,BUY,100
93,2018-04-17 13:42:22,600570.XSHG,BUY,100
94,2018-04-17 13:42:25,600570.XSHG,BUY,100
95,2018-04-17 13:42:28,600570.XSHG,SELL,100
96,2018-04-17 13:42:32,600570.XSHG,BUY,100
97,2018-04-17 13:42:35,600570.XSHG,BUY,100
