,600570.XSHG
2018-04-17 13:36:52,100
2018-04-17 13:36:55,100
2018-04-17 13:36:58,100
2018-04-17 13:37:01,100
2018-04-17 13:37:07,100
2018-04-17 13:37:13,-100
2018-04-17 13:37:16,100
2018-04-17 13:37:22,-100
2018-04-17 13:37:25,-100
2018-04-17 13:37:28,100
2018-04-17 13:37:31,100
2018-04-17 13:37:34,100
2018-04-17 13:37:37,100
2018-04-17 13:37:40,-100
2018-04-17 13:37:43,100
2018-04-17 13:37:46,-100
2018-04-17 13:37:49,100
2018-04-17 13:37:58,-100
2018-04-17 13:38:01,-100
2018-04-17 13:38:04,-100
2018-04-17 13:38:07,-100
2018-04-17 13:38:10,-100
2018-04-17 13:38:13,100
2018-04-17 13:38:16,-100
2018-04-17 13:38:19,-100
2018-04-17 13:38:22,100
2018-04-17 13:38:46,100
2018-04-17 13:38:49,100
2018-04-17 13:38:52,-100
2018-04-17 13:38:55,-100
2018-04-17 13:38:58,100
2018-04-17 13:39:01,100
2018-04-17 13:39:04,-100
2018-04-17 13:39:07,100
2018-04-17 13:39:10,100
2018-04-17 13:39:13,100
2018-04-17 13:39:16,-100
2018-04-17 13:39:22,100
2018-04-17 13:39:25,-100
2018-04-17 13:39:28,-100
2018-04-17 13:39:31,-100
2018-04-17 13:39:34,100
2018-04-17 13:39:37,100
2018-04-17 13:39:40,100
2018-04-17 13:39:43,-100
2018-04-17 13:39:46,100
2018-04-17 13:39:49,-100
2018-04-17 13:39:52,-100
2018-04-17 13:39:55,-100
2018-04-17 13:39:58,-100
2018-04-17 13:40:01,-100
2018-04-17 13:40:04,100
2018-04-17 13:40:07,100
2018-04-17 13:40:10,-100
2018-04-17 13:40:13,100
2018-04-17 13:40:16,-100
2018-04-17 13:40:19,-100
2018-04-17 13:40:28,-100
2018-04-17 13:40:31,100
2018-04-17 13:40:34,-100
2018-04-17 13:40:37,-100
2018-04-17 13:40:40,-100
2018-04-17 13:40:43,-100
2018-04-17 13:40:46,-100
2018-04-17 13:40:49,100
2018-04-17 13:40:52,100
2018-04-17 13:40:55,100
2018-04-17 13:40:59,100
2018-04-17 13:41:01,100
2018-04-17 13:41:04,-100
2018-04-17 13:41:07,100
2018-04-17 13:41:10,100
2018-04-17 13:41:14,100
2018-04-17 13:41:16,100
2018-04-17 13:41:19,100
2018-04-17 13:41:22,-100
2018-04-17 13:41:25,-100
2018-04-17 13:41:29,-100
2018-04-17 13:41:31,-100
2018-04-17 13:41:34,-100
2018-04-17 13:41:37,100
2018-04-17 13:41:41,100
2018-04-17 13:41:44,-100
2018-04-17 13:41:46,-100
2018-04-17 13:41:49,100
2018-04-17 13:41:52,100
2018-04-17 13:41:55,100
2018-04-17 13:41:58,100
2018-04-17 13:42:02,100
2018-04-17 13:42:07,-100
2018-04-17 13:42:13,100
2018-04-17 13:42:17,100
2018-04-17 13:42:19,100
2018-04-17 13:42:22,100
2018-04-17 13:42:25,100
2018-04-17 13:42:28,-100
2018-04-17 13:42:32,100
2018-04-17 13:42:35,100
2018-04-17 13:42:41,100
2018-04-17 13:42:44,100
